Title,Artist,Cluster
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky",2
"Face Down","The Red Jumpsuit Apparatus",0
"Firework","Katy Perry",2
"Halo","Beyoncé",0
"Hear Me Now","Alok",0
"Hello","Adele",0
"Higher Love","Kygo",0
"Hot In Herre","Nelly",2
"Human","The Killers",1
"Hung Up","Madonna",0
"ily (i love you baby) (feat. Emilee)","Surf Mesa",0
"In My Feelings","Drake",0
"In The Night","The Weeknd",1
"In Too Deep","Sum 41",2
"Intentions (feat. Quavo)","Justin Bieber",2
"International Love (feat. Chris Brown)","Pitbull",2
"Jealous","Labrinth",0
"Let Me Blow Ya Mind","Eve",2
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",2
"Live Your Life","T.I.",1
"2002","Anne-Marie",2
"Losin Control","Russ",0
"Love On Top","Beyoncé",2
"Low Life (feat. The Weeknd)","Future",0
"Middle","DJ Snake",0
"MONTERO (Call Me By Your Name)","Lil Nas X",1
"Motley Crew","Post Malone",0
"Nevermind","Dennis Lloyd",0
"Nights Like This (feat. Ty Dolla $ign)","Kehlani",1
"No Hands (feat. Roscoe Dash & Wale)","Waka Flocka Flame",0
"oui","Jeremih",0
"Paris","The Chainsmokers",0
"Part Of Me","Katy Perry",2
"Perfect Strangers","Jonas Blue",2
"Pompeii","Bastille",2
"Praise God","Kanye West",0
"Price Tag","Jessie J",1
"Pure Water (with Migos)","Mustard",1
"Renegades","X Ambassadors",0
"Reptilia","The Strokes",1
"Ride Wit Me","Nelly",2
"Runaway (U & I)","Galantis",0
"Savage Love (Laxed - Siren Beat)","Jawsh 685",1
"Say It","Tory Lanez",0
"Secreto","Anuel AA",2
"Secrets","OneRepublic",1
"She Wolf","Shakira",2
"Slow Hands","Niall Horan",2
"Smooth Criminal","Alien Ant Farm",2
"Snowman","Sia",0
"Stir Fry","Migos",1
"Stole the Show","Kygo",0
"Stronger (What Doesn't Kill You)","Kelly Clarkson",2
"Sucker for Pain (with Wiz Khalifa & Imagine Dragons & Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",1
"Sunday Best","Surfaces",2
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2
"Swang","Rae Sremmurd",0
"Take Care","Drake",0
"Take You Dancing","Jason Derulo",2
"Talking to the Moon","Bruno Mars",1
"The Climb","Miley Cyrus",1
"THE SCOTTS","THE SCOTTS",0
"Vaina Loca","Ozuna",2
"We Are Never Ever Getting Back Together","Taylor Swift",2
"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",2
"Without Me","Halsey",1
"You're Beautiful","James Blunt",0
"You've Got The Love","Florence + The Machine",0
"ZEZE (feat. Travis Scott & Offset)","Kodak Black",0
"679 (feat. Remy Boyz)","Fetty Wap",1
"Airplanes (feat. Hayley Williams of Paramore)","B.o.B",0
"Bad Day","Daniel Powter",1
"Beautiful Day","U2",1
"Beautiful People (feat. Khalid)","Ed Sheeran",0
"Because Of You","Ne-Yo",2
"Behind Blue Eyes","Limp Bizkit",0
"Better Together","Jack Johnson",2
"Black Beatles","Rae Sremmurd",1
"Blueberry Faygo","Lil Mosey",0
"Chasing Pavements","Adele",0
"China","Anuel AA",2
"Circus","Britney Spears",2
"Cleanin' Out My Closet","Eminem",2
"Crank That (Soulja Boy)","Soulja Boy",2
"Cry Me a River","Justin Timberlake",0
"Dancing With A Stranger (with Normani)","Sam Smith",0
"Dangerous Woman","Ariana Grande",0
"Destination Calabria - Radio Edit","Alex Gaudino",0
"Domino","Jessie J",2
"Down On Me","Jeremih",1
"Eenie Meenie","Sean Kingston",2
"Fast Car","Jonas Blue",0
"Fat Lip","Sum 41",1
"Girlfriend","Avril Lavigne",1
"Good as Hell","Lizzo",2
"Good Life","Kanye West",0
"Habits (Stay High)","Tove Lo",0
"History","One Direction",2
"Hold On, We're Going Home","Drake",0
"I Don't Fuck With You","Big Sean",0
"I Hate Everything About You","Three Days Grace",0
"i'm so tired...","Lauv",0
"In My Place","Coldplay",1
"Infinity 2008 - Klaas Vocal Edit","Guru Josh Project",1
"Just A Dream","Nelly",0
"King Kunta","Kendrick Lamar",0
"L'Amour Toujours","Gigi D'Agostino",2
"Last Friday Night (T.G.I.F.)","Katy Perry",2
"Latch","Disclosure",0
"Let Me Love You","Mario",0
"Levitating (feat. DaBaby)","Dua Lipa",2
"Life is a Highway","Rascal Flatts",2
"Like A G6","Far East Movement",2
"Little Do You Know","Alex & Sierra",1
"Little Things","One Direction",0
"Live While We're Young","One Direction",2
"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",1
"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1
"Mi Gente","J Balvin",0
"Mine","Bazzi",2
"Misery Business","Paramore",1
"Naive","The Kooks",2
"No One","Alicia Keys",0
"Nothin' on You (feat. Bruno Mars)","B.o.B",2
"One Call Away","Charlie Puth",0
"Paralyzer","Finger Eleven",2
"Plain Jane","A$AP Ferg",1
"pov","Ariana Grande",0
"Rain On Me (with Ariana Grande)","Lady Gaga",2
"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2
"Roses","The Chainsmokers",0
"Sail","AWOLNATION",0
"212","Azealia Banks",2
"Shake That","Eminem",2
"Shout Out to My Ex","Little Mix",2
"Soltera - Remix","Lunay",2
"Somebody Else","The 1975",0
"Springsteen","Eric Church",2
"Stacy's Mom","Fountains Of Wayne",2
"Take A Look Around","Limp Bizkit",0
"The A Team","Ed Sheeran",0
"The Heart Wants What It Wants","Selena Gomez",2
"The Motto","Drake",1
"Too Good","Drake",0
"Trap Queen","Fetty Wap",2
"Troublemaker (feat. Flo Rida)","Olly Murs",2
"Under Control (feat. Hurts)","Calvin Harris",2
"Walk It Talk It","Migos",1
"Want to Want Me","Jason Derulo",2
"Where Have You Been","Rihanna",2
"Where Them Girls At (feat. Nicki Minaj & Flo Rida)","David Guetta",2
"Wherever You Will Go","The Calling",0
"Who Knew","P!nk",1
"With You","Chris Brown",2
"X","Nicky Jam",1
"You And Me","Lifehouse",1
"Your Power","Billie Eilish",0
"4 Minutes (feat. Justin Timberlake & Timbaland)","Madonna",2
"Adan y Eva","Paulo Londra",1
"Ain't It Fun","Paramore",2
"Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)","Felix Jaehn",0
"All Summer Long","Kid Rock",2
"Apologize","OneRepublic",0
"Ayo","Chris Brown",2
"Bad and Boujee (feat. Lil Uzi Vert)","Migos",0
"Bad At Love","Halsey",2
"Bandido","Myke Towers",1
"Bartender (feat. Akon)","T-Pain",0
"Beautiful Liar","Beyoncé",0
"BICHOTA","KAROL G",1
"Black Skinhead","Kanye West",0
"Blue Jeans","GANGGA",0
"Boulevard of Broken Dreams","Green Day",1
"Boyfriend","Justin Bieber",0
"Breaking the Habit","Linkin Park",2
"Breezeblocks","alt-J",1
"Build a Bitch","Bella Poarch",2
"Cool Kids","Echosmith",2
"Dangerously","Charlie Puth",0
"Dirt Road Anthem","Jason Aldean",2
"Disco Inferno","50 Cent",2
"Don't Matter","Akon",0
"Don't Tell 'Em","Jeremih",0
"Everybody's Changing","Keane",0
"Fake Love","Drake",2
"Finesse - Remix: feat. Cardi B","Bruno Mars",2
"Foolish","Ashanti",2
"Forever","Drake",2
"Free Fallin' - Live at the Nokia Theatre Los Angeles CA - December 2007","John Mayer",1
"GIRL LIKE ME","Black Eyed Peas",0
"Hangover","Taio Cruz",2
"Hey Baby (Drop It to the Floor) (feat. T-Pain)","Pitbull",2
"Hot N Cold","Katy Perry",2
"I Bet You Look Good On The Dancefloor","Arctic Monkeys",2
"I Wanna Love You","Akon",0
"Intro","The xx",0
"La Camisa Negra","Juanes",2
"Last Nite","The Strokes",2
"Lego House","Ed Sheeran",1
"Light It Up (feat. Nyla & Fuse ODG) [Remix]","Major Lazer",2
"Loba","Shakira",2
"Look Alive (feat. Drake)","BlocBoy JB",2
"Love Lies (with Normani)","Khalid",1
"Love Song","Sara Bareilles",2
"Loyal (feat. Lil Wayne & Tyga)","Chris Brown",2
"Lust For Life (with The Weeknd)","Lana Del Rey",0
"Magic","Coldplay",0
"Meet Me Halfway","Black Eyed Peas",0
"Moth To A Flame (with The Weeknd)","Swedish House Mafia",0
"My Band","D12",2
"My Love (feat. T.I.)","Justin Timberlake",2
"Need You Now","Lady A",0
"Never Forget You","Zara Larsson",1
"Obsessed","Mariah Carey",0
"OMG (feat. will.i.am)","Usher",0
"On The Floor - Radio Edit","Jennifer Lopez",0
"Only Girl (In The World)","Rihanna",2
"Papaoutai","Stromae",0
"Paparazzi","Lady Gaga",0
"Party Rock Anthem","LMFAO",0
"Please Me","Cardi B",2
"Prayer in C - Robin Schulz Radio Edit","Lilly Wood and The Prick",2
"Rather Be (feat. Jess Glynne)","Clean Bandit",2
"Run It! (feat. Juelz Santana)","Chris Brown",0
"S&M","Rihanna",2
"Send My Love (To Your New Lover)","Adele",1
"She Looks So Perfect","5 Seconds of Summer",1
"Sit Still, Look Pretty","Daya",2
"Suddenly I See","KT Tunstall",2
"Suga Suga","Baby Bash",0
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix","Lana Del Rey",0
"Superheroes","The Script",1
"Sweet Nothing (feat. Florence Welch)","Calvin Harris",2
"Symphony (feat. Zara Larsson)","Clean Bandit",0
"Teenage Dirtbag","Wheatus",2
"Teenage Dream","Katy Perry",2
"Telephone","Lady Gaga",2
"Thank You","Dido",2
"Therefore I Am","Billie Eilish",2
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental",2
"Through The Wire","Kanye West",2
"Trip","Ella Mai",0
"Waiting On the World to Change","John Mayer",1
"We Belong Together","Mariah Carey",2
"We're Good","Dua Lipa",2
"What the Hell","Avril Lavigne",1
"What You Know","Two Door Cinema Club",2
"Whatever You Like","T.I.",1
"What's Luv? (feat. Ja-Rule & Ashanti)","Fat Joe",2
"When The Sun Goes Down","Arctic Monkeys",1
"Where Are Ü Now (with Justin Bieber)","Jack Ü",1
"Worth It (feat. Kid Ink)","Fifth Harmony",2
"You Found Me","The Fray",1
"Your Body Is a Wonderland","John Mayer",2
"2 On (feat. ScHoolboy Q)","Tinashe",0
"Afterglow","Ed Sheeran",0
"Antidote","Travis Scott",0
"Anyone","Justin Bieber",0
"Apologize","Timbaland",0
"At My Worst","Pink Sweat$",2
"Back To December","Taylor Swift",1
"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1
"Because of You","Kelly Clarkson",1
"Best Friend (feat. Doja Cat)","Saweetie",0
"Billionaire (feat. Bruno Mars)","Travie McCoy",2
"Bodak Yellow","Cardi B",2
"Bonita","J Balvin",2
"Bottoms Up (feat. Nicki Minaj)","Trey Songz",0
"Bubbly","Colbie Caillat",0
"Burn","Ellie Goulding",0
"Burn","Usher",2
"Butterfly","Crazy Town",2
"Caroline","Aminé",2
"Come & Get It","Selena Gomez",0
"Controlla","Drake",0
"Dangerous","Kardinal Offishall",2
"Don't","Ed Sheeran",2
"Don't Cha","The Pussycat Dolls",2
"double take","dhruv",0
"Drunk in Love (feat. Jay-Z)","Beyoncé",1
"Échame La Culpa","Luis Fonsi",2
"Every Teardrop Is a Waterfall","Coldplay",0
"Far Away","Nickelback",1
"Genie In a Bottle","Christina Aguilera",1
"Giant (with Rag'n'Bone Man)","Calvin Harris",2
"Good Life","OneRepublic",2
"Grace","Lewis Capaldi",0
"Grace Kelly","MIKA",2
"Green Light","Lorde",0
"Headstrong","Trapt",1
"Heroes (we could be)","Alesso",0
"I Know What You Did Last Summer","Shawn Mendes",2
"I Know What You Want (feat. Flipmode Squad)","Busta Rhymes",0
"I Need Your Love (feat. Ellie Goulding)","Calvin Harris",2
"I'm with You","Avril Lavigne",1
"Jar of Hearts","Christina Perri",0
"Leave a Light On","Tom Walker",0
"Lemonade","Internet Money",1
"Let It Go","James Bay",1
"Let's Fall in Love for the Night","FINNEAS",0
"Life Is Good (feat. Drake)","Future",1
"Lost Boy","Ruth B.",0
"Love in This Club (feat. Young Jeezy)","Usher",1
"LoveGame","Lady Gaga",2
"Money","Cardi B",0
"Mr. Saxobeat - Radio Edit","Alexandra Stan",2
"My Love (feat. Jess Glynne)","Route 94",2
"No Air (feat. Chris Brown)","Jordin Sparks",1
"No Type","Rae Sremmurd",0
"Primadonna","MARINA",0
"Reality","Lost Frequencies",2
"Rehab","Amy Winehouse",2
"Remember the Name (feat. Styles of Beyond)","Fort Minor",2
"Replay","Iyaz",0
"Rise","Jonas Blue",2
"River (feat. Ed Sheeran)","Eminem",2
"Roar","Katy Perry",1
"Shape of My Heart","Backstreet Boys",0
"Shotta Flow (feat. Blueface) [Remix]","NLE Choppa",2
"Since U Been Gone","Kelly Clarkson",0
"Sky Walker (feat. Travis Scott)","Miguel",1
"Slide (feat. Frank Ocean & Migos)","Calvin Harris",2
"SOS (feat. Aloe Blacc)","Avicii",0
"Spectrum (Say My Name) - Calvin Harris Remix","Florence + The Machine",2
"Speed of Sound","Coldplay",0
"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",0
"Taki Taki (feat. Selena Gomez & Ozuna & Cardi B)","DJ Snake",2
"Tequila","Dan + Shay",0
"The One That Got Away","Katy Perry",2
"Unsteady","X Ambassadors",0
"What’s Next","Drake",0
"When Love Takes Over (feat. Kelly Rowland)","David Guetta",2
"When You Love Someone","James TW",0
"X Gon' Give It To Ya","DMX",2
"Yo (Excuse Me Miss)","Chris Brown",0
"You","Lloyd",2
"You Make It Easy","Jason Aldean",1
"03' Bonnie & Clyde","JAY-Z",0
"Alejandro","Lady Gaga",0
"Alone","Marshmello",1
"A-Punk","Vampire Weekend",1
"Back To You","Selena Gomez",0
"Bulletproof","La Roux",2
"Burnin' Up","Jonas Brothers",2
"Cold (feat. Future)","Maroon 5",0
"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",0
"Crack A Bottle","Eminem",1
"Day 'N' Nite (Nightmare)","Kid Cudi",2
"do re mi","blackbear",0
"ELEMENT.","Kendrick Lamar",1
"Empire State of Mind (Part II) Broken Down","Alicia Keys",0
"Everything","Michael Bublé",0
"Fetish (feat. Gucci Mane)","Selena Gomez",0
"Fire Burning","Sean Kingston",2
"Follow Me","Uncle Kracker",2
"Hate That I Love You","Rihanna",2
"High By The Beach","Lana Del Rey",0
"Higher","Creed",1
"Hold Back The River","James Bay",1
"Home","Phillip Phillips",0
"Hot N*gga","Bobby Shmurda",1
"How Do You Sleep?","Sam Smith",0
"Hurricane","Kanye West",0
"Hurts So Good","Astrid S",0
"I Kissed A Girl","Katy Perry",2
"I Need a Girl (Pt. 2) [feat. Loon & Ginuwine & Mario Winans]","Diddy",1
"I'm Like A Bird","Nelly Furtado",0
"I'm Still in Love with You (feat. Sasha)","Sean Paul",2
"Jackie Chan","Tiësto",2
"Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix","Jennifer Lopez",2
"Jumpin' Jumpin'","Destiny's Child",2
"Jumpman","Drake",2
"King","Years & Years",0
"Kiss Kiss (feat. T-Pain)","Chris Brown",1
"Look At Me Now (feat. Lil' Wayne & Busta Rhymes)","Chris Brown",1
"Man Of The Year","ScHoolboy Q",0
"Mercy","Kanye West",1
"Never Say Never","Justin Bieber",2
"On The Ground","ROSÉ",1
"One Only","Pamungkas",1
"Otro Trago","Sech",1
"Party Up","DMX",1
"Pesan Terakhir","Lyodra",0
"Ride","Lana Del Rey",0
"Right Now (Na Na Na)","Akon",2
"Roses","Outkast",0
"Same Old Love","Selena Gomez",0
"She Doesn't Mind","Sean Paul",2
"She Hates Me","Puddle Of Mudd",2
"She Moves In Her Own Way","The Kooks",1
"Shivers","Ed Sheeran",2
"Skinny Love","Birdy",1
"Skinny Love","Bon Iver",0
"Someday","The Strokes",2
"Someday","Nickelback",1
"Sway","Michael Bublé",2
"Taste (feat. Offset)","Tyga",0
"Te Amo","Rihanna",1
"Time to Pretend","MGMT",0
"Too Little Too Late","JoJo",2
"Touch The Sky","Kanye West",2
"Trouble","Cage The Elephant",0
"Tuesday (feat. Danelle Sandoval)","Burak Yeter",2
"U Got It Bad","Usher",2
"U Remind Me","Usher",2
"Unfaithful","Rihanna",1
"Up","Cardi B",1
"Water Under the Bridge","Adele",0
"We R Who We R","Kesha",2
"What Goes Around.../...Comes Around (Interlude)","Justin Timberlake",0
"Whatcha Say","Jason Derulo",1
"When I Grow Up","The Pussycat Dolls",0
"Whoopty","CJ",1
"Without You (feat. Usher)","David Guetta",0
"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI",0
"1 2 3 (feat. Jason Derulo & De La Ghetto)","Sofía Reyes",2
"7 Days","Craig David",2
"All My Friends (feat. Tinashe & Chance the Rapper)","Snakehips",0
"All Night","The Vamps",1
"Amazed","Lonestar",1
"As Good As I Once Was","Toby Keith",2
"Bad Things (with Camila Cabello)","Machine Gun Kelly",1
"Banana Pancakes","Jack Johnson",2
"Bangarang (feat. Sirah)","Skrillex",2
"Beautiful Soul","Jesse McCartney",2
"BedRock","Young Money",1
"Beggin (original version)","Madcon",2
"Beverly Hills","Weezer",2
"Big Girls Don't Cry (Personal)","Fergie",0
"Big Pimpin'","JAY-Z",2
"Body","Megan Thee Stallion",0
"Brianstorm","Arctic Monkeys",1
"Confessions Part II","Usher",2
"Do It Again","Pia Mia",0
"Donald Trump","Mac Miller",2
"emotions","iann dior",0
"FEFE","6ix9ine",0
"Get the Party Started","P!nk",2
"Goodbye My Lover","James Blunt",0
"Hold On","Justin Bieber",1
"Hollaback Girl","Gwen Stefani",2
"Home","Michael Bublé",0
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Machine Gun Kelly",0
"I Need A Doctor","Dr. Dre",1
"If U Seek Amy","Britney Spears",2
"I'm a Slave 4 U","Britney Spears",2
"I'm Sprung","T-Pain",0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",2
"Irreplaceable","Beyoncé",1
"iSpy (feat. Lil Yachty)","KYLE",2
"Let Her Go","Passenger",0
"Lollipop","Lil Wayne",1
"Lost Cause","Billie Eilish",0
"MotorSport","Migos",0
"My Sacrifice","Creed",1
"New Flame (feat. Usher & Rick Ross)","Chris Brown",1
"No Limit","G-Eazy",1
"One Time","Justin Bieber",1
"Panini","Lil Nas X",1
"Play Hard (feat. Ne-Yo & Akon)","David Guetta",2
"Plug Walk","Rich The Kid",0
"Pray For Me (with Kendrick Lamar)","The Weeknd",0
"Princess of China","Coldplay",0
"Rockstar","Nickelback",1
"Sandstorm","Darude",1
"Saturday Sun","Vance Joy",2
"Say Something (feat. Chris Stapleton)","Justin Timberlake",0
"Shut Up And Drive","Rihanna",2
"Sing","Ed Sheeran",2
"Sit Next to Me","Foster The People",2
"Skate","Bruno Mars",2
"Slide Away","Miley Cyrus",1
"Slow Jamz","Twista",1
"Smile","Lily Allen",2
"Sofia","Alvaro Soler",2
"Sonnentanz - Sun Don't Shine","Klangkarussell",0
"Spotlight","Marshmello",1
"Stickwitu","The Pussycat Dolls",0
"Stop Crying Your Heart Out","Oasis",0
"Suge","DaBaby",2
"Survivor","Destiny's Child",1
"Talk (feat. Disclosure)","Khalid",0
"The Ocean (feat. Shy Martin)","Mike Perry",0
"The Show Goes On","Lupe Fiasco",1
"The Time (Dirty Bit)","Black Eyed Peas",2
"This Ain't A Scene, It's An Arms Race","Fall Out Boy",1
"This Is America","Childish Gambino",0
"Thong Song","Sisqo",2
"Tonight Tonight","Hot Chelle Rae",2
"Turn Down for What","DJ Snake",0
"We Own It (Fast & Furious)","2 Chainz",1
"Youth of the Nation","P.O.D.",0
"7/11","Beyoncé",1
"A Milli","Lil Wayne",1
"After School","Weeekly",1
"Again","Lenny Kravitz",2
"Alaska","Maggie Rogers",0
"Axel F","Crazy Frog",2
"Bailando - Spanish Version","Enrique Iglesias",2
"Beautiful","Christina Aguilera",0
"Beneath Your Beautiful (feat. Emeli Sandé)","Labrinth",0
"Best Thing I Never Had","Beyoncé",0
"Better","Khalid",0
"Boom Boom Pow","Black Eyed Peas",2
"Bounce Back","Big Sean",0
"Breathless","The Corrs",2
"Broken Strings","James Morrison",0
"Buttons","The Pussycat Dolls",1
"Candy","Robbie Williams",2
"Can't Fight The Moonlight","LeAnn Rimes",2
"Clout (feat. Cardi B)","Offset",1
"Corazón (feat. Nego do Borel)","Maluma",1
"Country Grammar (Hot Shit)","Nelly",1
"Dakota","Stereophonics",1
"Daylight","Maroon 5",0
"Deuces (feat. Tyga & Kevin McCall)","Chris Brown",0
"Do You Remember","Jay Sean",2
"Don't Wanna Know (feat. Kendrick Lamar)","Maroon 5",0
"DONTTRUSTME","3OH!3",2
"DUELE EL CORAZON (feat. Wisin)","Enrique Iglesias",2
"Fancy","Iggy Azalea",0
"Freaky Friday (feat. Chris Brown)","Lil Dicky",2
"Get Up (Rattle) [feat. Far East Movement] - Vocal Edit","Bingo Players",2
"Get Ur Freak On","Missy Elliott",1
"Gives You Hell","The All-American Rejects",0
"H.O.L.Y.","Florida Georgia Line",0
"Hands To Myself","Selena Gomez",0
"Haven't Met You Yet","Michael Bublé",2
"He Wasn't Man Enough","Toni Braxton",2
"Here","Alessia Cara",0
"Higher Power","Coldplay",1
"I Believe in a Thing Called Love","The Darkness",2
"I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit","Avicii",2
"I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster","Mario Winans",0
"I Love It (feat. Charli XCX)","Icona Pop",2
"I Write Sins Not Tragedies","Panic! At The Disco",1
"I'm On One","DJ Khaled",1
"It Girl","Jason Derulo",0
"Jesus Walks","Kanye West",2
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")","P!nk",1
"Just Lose It","Eminem",2
"Keep Your Head Up","Andy Grammer",2
"Kenangan Manis","Pamungkas",1
"King's Dead (with Kendrick Lamar & Future & James Blake)","Jay Rock",1
"Lifestyles of the Rich & Famous","Good Charlotte",2
"Live Like You Were Dying","Tim McGraw",1
"Lose Yourself to Dance (feat. Pharrell Williams)","Daft Punk",2
"Mercy","Duffy",2
"More - RedOne Jimmy Joker Remix","Usher",2
"Motivation","Normani",1
"My Humps","Black Eyed Peas",2
"My Love","Westlife",1
"My Type","Saweetie",2
"Over My Head (Cable Car)","The Fray",2
"Panda","Desiigner",1
"Pjanoo - Radio Edit","Eric Prydz",2
"Pocketful of Sunshine","Natasha Bedingfield",2
"Post to Be (feat. Chris Brown & Jhene Aiko)","Omarion",2
"Ready or Not","Bridgit Mendler",2
"Ridin'","Chamillionaire",2
"Right Above It","Lil Wayne",0
"Rock DJ","Robbie Williams",2
"Rock Wit U (Awww Baby)","Ashanti",2
"Savin' Me","Nickelback",1
"Second Chance","Shinedown",0
"September Song","JP Cooper",0
"Sexy And I Know It","LMFAO",2
"Sexy Love","Ne-Yo",0
"Show Me (feat. Chris Brown)","Kid Ink",2
"Slippery (feat. Gucci Mane)","Migos",2
"Some Nights","fun.",0
"Superstar","Jamelia",2
"Sweat - Remix","Snoop Dogg",2
"The Edge Of Glory","Lady Gaga",0
"The Greatest (feat. Kendrick Lamar)","Sia",1
"The Sweet Escape","Gwen Stefani",2
"The Way You Move (feat. Sleepy Brown)","Outkast",2
"This Is What It Feels Like","Armin van Buuren",0
"Touch My Body","Mariah Carey",2
"True Love (feat. Lily Allen)","P!nk",1
"Turn Me On","Kevin Lyttle",2
"What Hurts The Most","Rascal Flatts",1
"When I'm Gone","Eminem",2
"When I'm Gone","3 Doors Down",1
"Wherever I Go","OneRepublic",0
"Who's That Chick? (feat. Rihanna)","David Guetta",2
"Wide Awake","Katy Perry",1
"Work Bitch","Britney Spears",2
"Work It","Missy Elliott",2
"Yeah 3x","Chris Brown",2
"You Da One","Rihanna",2
"You Know You Like It","DJ Snake",1
"You Make Me Feel... (feat. Sabi)","Cobra Starship",2
"Your Love Is My Drug","Kesha",2
"2 Phones","Kevin Gates",2
"All Eyes on You (feat. Chris Brown & Nicki Minaj)","Meek Mill",0
"Arcade (feat. FLETCHER)","Duncan Laurence",0
"Ayo Technology","50 Cent",1
"Baby Boy (feat. Sean Paul)","Beyoncé",2
"Barking","Ramz",0
"Be Careful","Cardi B",1
"Big Green Tractor","Jason Aldean",1
"Birthday Sex","Jeremih",0
"Blow","Kesha",2
"Carry Out (Featuring Justin Timberlake)","Timbaland",0
"Chocolate","The 1975",2
"Close","Nick Jonas",0
"Coming Home","Diddy - Dirty Money",1
"Diamonds","Rihanna",0
"Dick (feat. Doja Cat)","StarBoi3",0
"Dirrty (feat. Redman)","Christina Aguilera",0
"E.T.","Katy Perry",1
"Fast Car","Jonas Blue",0
"Hero","Enrique Iglesias",0
"Hit 'Em Up Style (Oops!)","Blu Cantrell",2
"I Just Couldn't Save You Tonight - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",0
"I Miss You (feat. Julia Michaels)","Clean Bandit",0
"I Need A Dollar","Aloe Blacc",2
"If We Ever Meet Again (Featuring Katy Perry)","Timbaland",0
"In the Shadows","The Rasmus",2
"It's Only Me - Studio Version","Kaleb J",0
"It's You","Sezairi",0
"Just Like a Pill","P!nk",0
"Ladbroke Grove","AJ Tracey",2
"Landslide","The Chicks",1
"Last Request","Paolo Nutini",0
"Leave Me Alone","Flipp Dinero",1
"Let Me Love You (Until You Learn To Love Yourself)","Ne-Yo",0
"Like Toy Soldiers","Eminem",0
"Little Lion Man","Mumford & Sons",1
"Lost Without You","Freya Ridings",0
"Lovers And Friends","Lil Jon & The East Side Boyz",1
"Man Down","Rihanna",1
"Maps","Yeah Yeah Yeahs",0
"Mine","Taylor Swift",2
"Move Ya Body","Nina Sky",2
"My Life Would Suck Without You","Kelly Clarkson",1
"Nasty Girl (feat. Diddy & Nelly & Jagged Edge & Avery Storm) - 2005 Remaster","The Notorious B.I.G.",2
"Oblivion","Grimes",1
"One Day / Reckoning Song (Wankelmut Remix) - Radio Edit","Asaf Avidan",2
"Out Of Reach","GABRIELLE",1
"Picture (feat. Sheryl Crow)","Kid Rock",0
"Please Don't Go","Joel Adams",0
"Rich Girl","Gwen Stefani",2
"Right Thurr","Chingy",2
"Rock This Party - Everybody Dance Now","Bob Sinclar",2
"Rumors (feat. Cardi B)","Lizzo",2
"See You Again","Miley Cyrus",2
"Shake It Out","Florence + The Machine",0
"Single Ladies (Put a Ring on It)","Beyoncé",1
"Solo Dance","Martin Jensen",0
"Stay","Rihanna",0
"Steady, As She Goes","The Raconteurs",0
"Strip That Down (feat. Quavo)","Liam Payne",0
"Sunset Lover","Petit Biscuit",0
"Take It Off","Kesha",2
"Toosie Slide","Drake",2
"You Don't Own Me (feat. G-Eazy)","SAYGRACE",1
"You Rock My World","Michael Jackson",2
"Youngblood","5 Seconds of Summer",0
"Yummy","Justin Bieber",1
"Absolutely (Story of a Girl) - Radio Mix","Nine Days",2
"Ain't No Rest For The Wicked - Original Version","Cage The Elephant",1
"All Time Low","Jon Bellion",0
"As Long As You Love Me","Justin Bieber",1
"Battle Scars (with Guy Sebastian)","Lupe Fiasco",1
"Be Without You - Kendu Mix","Mary J. Blige",1
"Because I Got High","Afroman",1
"Black Widow","Iggy Azalea",1
"Blow Me (One Last Kiss)","P!nk",2
"Boo'd Up","Ella Mai",0
"Bye Bye Bye","*NSYNC",1
"Cheap Thrills (feat. Sean Paul)","Sia",2
"Closer","Ne-Yo",2
"Cry for You","September",2
"Dead And Gone","T.I.",1
"Differences","Ginuwine",0
"Dragostea din tei","O-Zone",2
"Drift Away","Uncle Kracker",1
"Fallin'","Alicia Keys",0
"Fighter","Christina Aguilera",1
"For the First Time","The Script",1
"Frontin' (feat. Jay-Z) - Club Mix","Pharrell Williams",2
