title;artist;topgenre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity;key;mode;instrumentalness;loudness
Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;pop rap;2012;95;53;78;-7;5;67;236;6;29;80;9;Minor;0.5811456046451261;-30.960464037435173
Tongue Tied;GROUPLOVE;indie rock;2011;113;94;56;-6;16;37;218;1;4;80;2;Minor;0.55578774074316;-6.735061495959805
When We Were Young;Adele;british soul;2015;144;60;38;-6;10;27;291;30;5;80;11;Major;0.7528350845325031;-28.868636175988847
Whistle;Flo Rida;dance pop;2012;104;94;75;-6;29;74;225;2;5;80;1;Minor;0.03412528206569587;-11.025438715547573
Wild Ones (feat. Sia);Flo Rida;dance pop;2012;127;86;61;-5;26;44;233;10;6;80;9;Major;0.5757212747132018;-59.7484075116295
All The Things She Said;t.A.T.u.;dance pop;2002;90;83;60;-6;11;38;214;4;4;79;0;Major;0.18312543179001217;-37.25002690225371
Am I Wrong;Nico & Vinz;pop;2014;120;68;73;-6;55;78;246;18;3;79;3;Minor;0.016523248031272475;-15.141465418035388
American Boy;Estelle;neo soul;2008;118;73;69;-3;7;52;285;17;38;79;3;Major;0.366458351625753;-18.446425503462905
Bad Blood;Taylor Swift;pop;2014;170;80;65;-6;15;30;212;9;18;79;11;Major;0.21507934431669884;-33.05421806024371
Bank Account;21 Savage;atl hip hop;2017;75;35;88;-8;9;38;220;2;35;79;0;Minor;0.550713740381512;-42.29798265674105
Beautiful Girls;Sean Kingston;dance pop;2007;130;66;76;-6;26;77;225;15;7;79;3;Minor;0.8962378251997982;-36.837664894352415
Bertaut;Nadin Amizah;indonesian pop;2020;119;13;47;-13;11;12;316;93;4;79;2;Minor;0.9921402555998533;-55.906229331672385
Best Song Ever;One Direction;boy band;2013;118;88;65;-3;8;49;200;2;5;79;9;Major;0.19264950684550564;-14.698652424702644
Black and Yellow;Wiz Khalifa;hip hop;2011;164;83;68;-5;27;54;218;6;7;79;2;Major;0.9592052433374729;-16.665335117429798
Blame (feat. John Newman);Calvin Harris;dance pop;2014;128;86;41;-4;34;35;213;3;8;79;1;Minor;0.9911868237842593;-33.94529283410715
Break Free;Ariana Grande;pop;2014;130;70;69;-5;20;28;215;1;5;79;1;Major;0.7347635933071548;-6.580415828823668
Break My Heart;Dua Lipa;dance pop;2020;113;73;73;-3;35;47;222;17;9;79;1;Major;0.10531847136763206;-4.037547141906522
Butter;BTS;k-pop;2022;110;46;76;-5;8;70;165;0;9;79;1;Major;0.3935838520875554;-2.4639031687048387
Can't Tell Me Nothing;Kanye West;chicago rap;2007;80;62;60;-6;82;10;272;1;4;79;9;Major;0.7709268413175199;-49.880882796925555
changes;XXXTENTACION;emo rap;2018;65;31;67;-10;10;52;122;88;3;79;10;Minor;0.77231721296367;-38.335033856544214
Crazy;Gnarls Barkley;atl hip hop;2006;112;59;86;-5;11;64;177;5;3;79;10;Minor;0.6913790321450953;-32.382806872293315
Dancing in the Moonlight;Toploader;british alternative rock;2000;119;86;63;-3;35;87;233;6;3;79;8;Major;0.9319575159980592;-37.1401074779512
Dani California;Red Hot Chili Peppers;alternative rock;2006;96;91;56;-2;35;73;282;2;4;79;10;Major;0.6081505458826711;-58.90792786267884
Déjala Que Vuelva (feat. Manuel Turizo);Piso 21;colombian pop;2018;170;79;68;-4;8;84;220;5;8;79;4;Major;0.8514953618856232;-45.88002694651618
Die Young;Kesha;dance pop;2012;128;70;71;-5;22;80;212;0;5;79;4;Major;0.3946897008949647;-38.951427740078216
Drive By;Train;dance pop;2012;122;84;77;-3;8;72;196;0;3;79;3;Minor;0.06391269881664885;-15.71453285248323
Falling;Trevor Daniel;melodic rap;2020;127;43;79;-9;9;24;159;12;4;79;1;Minor;0.2289085056027751;-23.8693270024415
Feel This Moment (feat. Christina Aguilera);Pitbull;dance pop;2012;136;76;67;-4;34;54;230;4;16;79;7;Major;0.9832998598367356;-57.57760986458314
Forever;Chris Brown;r&b;2008;120;82;67;-4;18;44;279;4;5;79;3;Major;0.0007764896405575428;-18.93733532634534
FRIENDS;Marshmello;brostep;2018;95;88;63;-2;13;53;203;21;5;79;10;Major;0.792961316786718;-45.62048609324928
Give It To Me;Timbaland;dance pop;2007;111;71;98;-4;8;82;234;17;6;79;6;Major;0.947260421172313;-46.20212081240594
God is a woman;Ariana Grande;pop;2018;145;66;60;-6;24;27;198;2;6;79;5;Major;0.7733197412023097;-5.172982158535994
Good Feeling;Flo Rida;dance pop;2012;128;89;71;-4;31;68;248;6;7;79;8;Minor;0.5220952249314184;-4.573339819671084
Good Time;Owl City;indietronica;2012;126;87;56;-4;37;68;206;2;14;79;7;Major;0.7386006885093438;-36.699014408455504
Hawái;Maluma;latin pop;2020;180;73;78;-3;6;56;199;19;39;79;6;Major;0.811846025575063;-45.77692520706152
Headlines;Drake;canadian hip hop;2011;152;57;64;-7;9;43;236;37;11;79;2;Minor;0.28324545015931835;-56.10196565841583
Him & I (with Halsey);G-Eazy;indie pop rap;2017;88;73;59;-6;31;19;269;5;9;79;8;Minor;0.24786881690288054;-9.46464312080218
Hotline Bling;Drake;canadian hip hop;2016;135;63;89;-8;5;55;267;0;6;79;10;Major;0.20020857162846528;-56.275671302527634
How Deep Is Your Love;Calvin Harris;dance pop;2015;122;87;74;-4;39;34;213;4;7;79;11;Major;0.3886516430872142;-25.911897751529132
If the World Was Ending (feat. Julia Michaels);JP Saxe;alt z;2019;76;47;46;-10;11;60;209;87;13;79;7;Major;0.0779298810691913;-9.584646670971686
Into You;Ariana Grande;pop;2016;108;73;62;-6;14;37;244;2;11;79;6;Minor;0.3255070226473956;-59.99987156038045
It Ain't Me (with Selena Gomez);Kygo;edm;2017;100;53;64;-7;9;52;221;12;7;79;4;Minor;0.08472768290954102;-24.206176497937918
Kids;MGMT;alternative rock;2007;123;93;45;-4;36;17;303;0;7;79;1;Major;0.8161037412518423;-40.157968283804905
Kiss Me Thru The Phone;Soulja Boy;atl hip hop;2008;150;71;76;-4;7;80;193;2;11;79;7;Minor;0.34916590291074;-42.55701353061514
Like a Stone;Audioslave;alternative metal;2002;108;57;61;-5;10;52;294;1;3;79;7;Minor;0.4345030814555687;-21.64311912134294
Location;Khalid;pop;2017;80;45;74;-11;9;33;219;33;43;79;10;Minor;0.7666103183483769;-45.483531359505996
Location (feat. Burna Boy);Dave;uk hip hop;2019;110;50;81;-6;10;55;241;27;30;79;10;Minor;0.5851741442879002;-24.114038566119042
Look Back at It;A Boogie Wit da Hoodie;melodic rap;2018;96;59;79;-5;15;54;179;41;4;79;5;Minor;0.7068401115219493;-55.79456704400037
Love Galore (feat. Travis Scott);SZA;pop;2017;135;59;80;-6;16;41;275;11;7;79;5;Minor;0.23253224415626472;-58.77085500878716
Love Story;Taylor Swift;pop;2008;119;74;62;-4;8;31;236;13;3;79;1;Major;0.8305611403988757;-12.154972776549236
Marry You;Bruno Mars;dance pop;2010;145;82;62;-5;10;45;230;33;4;79;5;Major;0.5662224271976533;-41.530716223733336
Me And My Broken Heart;Rixton;pop;2014;174;78;55;-4;13;55;194;0;3;79;8;Major;0.6666048703493458;-22.017535347835512
Meet Me At Our Spot;THE ANXIETY;modern alternative pop;2020;95;47;77;-8;9;40;163;2;3;79;5;Minor;0.8565128034162696;-55.68518753102498
Memories (feat. Kid Cudi);David Guetta;big room;2010;130;92;55;-4;25;38;211;0;26;79;1;Minor;0.055381596441862246;-59.82829647394434
Memories Remix (feat. Nipsey Hussle & YG);Maroon 5;pop;2021;91;40;81;-7;8;70;189;86;5;79;2;Major;0.14370236639349787;-43.43051543773539
Midnight City;M83;french shoegaze;2011;105;73;51;-5;7;27;244;2;4;79;6;Major;0.6190175392993904;-12.204218988945286
Midnight Sky;Miley Cyrus;pop;2020;110;81;70;-6;25;23;223;0;3;79;3;Minor;0.14118531851640148;-18.561106403876487
Mirrors;Justin Timberlake;dance pop;2013;77;51;57;-7;9;51;484;23;5;79;8;Major;0.7856317010486423;-14.713115291414915
Money In The Grave (Drake ft. Rick Ross);Drake;canadian hip hop;2019;101;50;83;-4;12;10;205;10;5;79;11;Minor;0.6941746561836788;-8.938325023822088
Monster;Skillet;alternative metal;2009;135;96;64;-2;8;69;178;4;7;79;3;Major;0.45368766471546884;-26.31521607629697
no tears left to cry;Ariana Grande;pop;2018;122;71;70;-6;29;35;206;4;6;79;0;Minor;0.9191910983917285;-24.88912703459571
Nothing Breaks Like a Heart (feat. Miley Cyrus);Mark Ronson;pop soul;2018;114;79;60;-6;39;24;217;1;7;79;10;Major;0.5361236728991747;-52.529263956358896
Old Town Road - Remix;Lil Nas X;lgbtq+ hip hop;2019;136;62;88;-6;11;64;157;5;10;79;0;Major;0.7519985400722234;-6.546675621451939
One More Time;Daft Punk;electro;2001;123;70;61;-9;33;48;320;2;13;79;5;Major;0.8499722533029642;-52.07212328725831
Paper Planes;M.I.A.;escape room;2007;172;85;45;-6;65;49;205;3;22;79;8;Minor;0.4580412080154468;-0.7244914692495854
Pop Out (feat. Lil Tjay);Polo G;chicago rap;2019;168;64;77;-7;7;26;167;15;47;79;11;Minor;0.31279913512479784;-16.039721981001044
Power Trip (feat. Miguel);J. Cole;conscious hip hop;2013;100;61;67;-7;43;48;241;32;22;79;1;Major;0.5470752539440733;-47.56711915001768
Psycho (feat. Ty Dolla $ign);Post Malone;dfw rap;2018;140;56;75;-8;11;46;221;55;11;79;5;Minor;0.29160408357433654;-27.29494459370303
ROCKSTAR (feat. Roddy Ricch);DaBaby;hip hop;2020;90;69;75;-8;10;50;182;25;16;79;9;Major;0.8385014415035498;-21.604029378015795
Rollin' (Air Raid Vehicle);Limp Bizkit;alternative metal;2000;96;93;60;-3;21;71;214;1;17;79;0;Major;0.7654653205683909;-42.52706981998695
Safaera;Bad Bunny;reggaeton;2020;96;83;61;-4;11;69;295;1;38;79;2;Minor;0.9388597293251355;-28.13843660947319
Save That Shit;Lil Peep;cloud rap;2017;106;58;53;-9;42;14;232;3;3;79;11;Minor;0.269734708885525;-41.61129015328356
Say My Name;Destiny's Child;dance pop;1999;138;68;71;-4;15;73;271;27;10;79;6;Major;0.8436673876067075;-48.303566894740214
Say So;Doja Cat;dance pop;2019;111;67;79;-5;9;78;238;26;16;79;8;Minor;0.751988788873516;-20.562046538881454
Scared to Be Lonely;Martin Garrix;dutch edm;2017;138;54;58;-8;26;20;221;9;6;79;1;Major;0.17436307408960106;-56.54564210083011
Sexy Bitch (feat. Akon);David Guetta;big room;2010;130;63;81;-5;13;80;196;8;5;79;5;Minor;0.1472068806410205;-8.609099956606578
Shotgun;George Ezra;folk-pop;2018;116;74;67;-5;24;75;201;29;5;79;1;Major;0.7440725511852965;-21.051431746841303
Shower;Becky G;latin pop;2014;120;53;70;-8;28;12;206;3;5;79;8;Major;0.024848852084540796;-31.83223050827717
Skyfall;Adele;british soul;2012;76;55;35;-7;11;8;286;42;3;79;3;Minor;0.9911671026949663;-4.446293742555859
So Sick;Ne-Yo;dance pop;2006;93;57;45;-8;19;58;207;25;31;79;11;Major;0.8928089761783742;-53.02884668751935
So What;P!nk;dance pop;2008;126;87;53;-3;24;46;215;0;4;79;10;Minor;0.7218526439308425;-2.254767660188044
Stay;Rihanna;barbadian pop;2012;112;31;62;-10;12;13;241;95;3;79;7;Minor;0.3499919105162922;-9.63465375860359
Sugar (feat. Francesco Yates);Robin Schulz;deep euro house;2015;123;82;64;-5;16;64;219;2;6;79;10;Minor;0.2511019234013274;-57.94345241733053
Summer of Love (Shawn Mendes & Tainy);Shawn Mendes;canadian pop;2021;124;81;78;-5;10;49;184;3;12;79;6;Minor;0.47815949183468454;-46.7938032033623
Supermassive Black Hole;Muse;modern rock;2006;120;92;67;-4;9;78;212;5;4;79;7;Major;0.7739297041406642;-51.853274980547354
Team;Lorde;art pop;2013;100;58;69;-7;31;42;193;17;9;79;3;Major;0.7623635739583192;-20.80184625124032
The Lazy Song;Bruno Mars;dance pop;2010;175;71;79;-5;10;96;189;30;7;79;11;Major;0.44315327409977046;-36.38909018650011
This Could Be Us;Rae Sremmurd;melodic rap;2015;143;69;73;-5;12;76;206;29;13;79;9;Major;0.24033804213449572;-36.5688402152742
This Girl (Kungs Vs. Cookin' On 3 Burners);Kungs;edm;2016;122;72;79;-5;23;47;196;9;4;79;7;Major;0.03220005823216909;-39.49421428696263
To the Bone;Pamungkas;indonesian pop;2019;140;73;67;-7;10;94;345;51;3;79;0;Major;0.2761953876015497;-8.38907879495315
Unconditionally;Katy Perry;pop;2013;129;73;43;-5;21;35;229;0;4;79;2;Minor;0.03805773626327846;-15.88709667582939
Waves - Robin Schulz Radio Edit;Mr. Probz;tropical house;2014;120;51;83;-9;8;45;208;1;4;79;10;Minor;0.8762425703231118;-5.804684545904905
Welcome to the Black Parade;My Chemical Romance;emo;2006;97;91;22;-4;22;24;311;0;8;79;0;Minor;0.8469959215218859;-18.2475127446221
What Do You Mean?;Justin Bieber;canadian pop;2015;125;57;85;-8;8;79;206;59;10;79;8;Minor;0.017282870041363307;-18.746473048457048
White Iverson;Post Malone;dfw rap;2016;130;56;68;-8;8;31;257;23;4;79;2;Major;0.9311143450730012;-16.313159985695563
Young, Wild & Free (feat. Bruno Mars);Snoop Dogg;g funk;2011;95;66;72;-6;12;53;207;5;14;79;9;Minor;0.44790103504138223;-25.486178812865617
A Thousand Miles;Vanessa Carlton;lilith;2002;95;83;56;-4;16;27;237;32;4;78;9;Minor;0.3306706045564619;-17.38672043918664
Angel;Shaggy;dance pop;2000;171;77;74;-3;4;81;235;12;18;78;4;Minor;0.3804108059942336;-46.75296735732346
Are You Gonna Be My Girl;Jet;garage rock;2003;105;95;61;-3;15;54;214;0;9;78;2;Minor;0.1983249309831624;-56.077041473311255
Astronaut In The Ocean;Masked Wolf;australian hip hop;2021;150;70;78;-7;15;47;133;18;9;78;2;Major;0.2692084854792638;-16.562127683543878
Better Off Alone;Alice Deejay;bouncy house;2000;137;88;67;-6;28;79;215;0;6;78;3;Minor;0.4763673058372948;-51.10368398113393
break up with your girlfriend i'm bored;Ariana Grande;pop;2019;170;55;73;-5;11;34;190;4;9;78;9;Major;0.24892831960440553;-21.530543452285116
Breaking Me;Topic;german dance;2019;122;72;79;-6;13;66;167;22;22;78;7;Minor;0.6441964055105603;-28.625457107742996
Callaita;Bad Bunny;reggaeton;2019;176;62;61;-5;24;24;251;60;31;78;6;Minor;0.14500059767093476;-23.684148924431057
Cheating on You;Charlie Puth;pop;2019;123;54;75;-7;10;60;197;1;3;78;5;Minor;0.6558353577761603;-9.917101459746874
Chill Bill (feat. J. Davi$ & Spooks);Rob $tone;san diego rap;2016;108;43;89;-10;9;23;177;3;14;78;9;Minor;0.7532257489421641;-59.23022160170413
Clint Eastwood;Gorillaz;alternative hip hop;2001;168;69;66;-9;7;53;341;3;17;78;11;Major;0.90322181636478;-29.277619210556594
Club Can't Handle Me (feat. David Guetta);Flo Rida;dance pop;2010;128;87;62;-4;6;47;235;3;3;78;10;Minor;0.8335323282499512;-41.026144109322125
Collard Greens;ScHoolboy Q;gangster rap;2014;154;57;83;-5;21;65;300;3;6;78;11;Major;0.8662517086440354;-37.2059797241692
Counting Stars;OneRepublic;piano rock;2014;122;71;66;-5;12;48;258;7;4;78;9;Major;0.8851544136450936;-33.79965141490804
Dance, Dance;Fall Out Boy;emo;2005;114;96;62;-3;9;45;180;1;15;78;5;Major;0.7981582628971213;-8.602087805612612
Dear Maria, Count Me In;All Time Low;modern rock;2007;181;90;46;-3;21;57;183;1;8;78;10;Major;0.5257165099415054;-3.0734623437238326
Diamonds;Rihanna;barbadian pop;2012;92;71;56;-5;11;39;225;0;5;78;8;Minor;0.05892772383683498;-2.0074085917312345
Drive;Incubus;alternative metal;1999;91;79;65;-7;12;67;232;6;4;78;7;Minor;0.00021047169339338812;-34.041234020780394
Drop It Like It's Hot;Snoop Dogg;g funk;2004;92;63;89;-4;10;66;266;19;22;78;1;Major;0.09023156155255119;-41.6735642283668
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack";The Weeknd;canadian contemporary r&b;2014;120;38;66;-6;10;43;252;39;3;78;11;Major;0.13284724509781365;-45.38711685757105
Elastic Heart;Sia;australian dance;2014;130;79;42;-5;15;50;257;1;5;78;3;Major;0.7231853453664562;-52.69463870025963
Family Affair;Mary J. Blige;dance pop;2001;93;55;91;-4;9;97;266;13;4;78;4;Minor;0.6121211526779242;-56.37703426584308
Feels (feat. Pharrell Williams, Katy Perry & Big Sean);Calvin Harris;dance pop;2017;101;75;89;-3;9;87;223;6;6;78;7;Major;0.18751285078401114;-29.295011547388057
Firestone;Kygo;edm;2016;114;63;70;-7;10;41;272;39;4;78;4;Minor;0.35556809016171953;-53.07458111781082
Get Busy;Sean Paul;dance pop;2022;100;82;74;-4;16;73;212;61;4;78;3;Minor;0.41143040327687186;-30.285442103586114
Girls Want Girls (with Lil Baby);Drake;canadian hip hop;2021;87;44;77;-9;14;38;222;18;29;78;6;Major;0.7626259887322571;-31.115712204981694
Glorious (feat. Skylar Grey);Macklemore;pop rap;2017;140;79;73;-5;11;36;220;3;5;78;2;Minor;0.12728213636578212;-47.01305814146741
Here Without You;3 Doors Down;alternative metal;2002;144;53;56;-7;21;23;239;5;3;78;6;Minor;0.5561296024113495;-24.34394827507431
Here's Your Perfect;Jamie Miller;pop soul;2021;113;45;56;-5;15;42;159;50;6;78;6;Minor;0.595453491797048;-12.574070497675635
How We Do;The Game;gangster rap;2005;98;65;86;-7;3;64;236;5;25;78;9;Minor;0.6262067668245432;-26.053149488483456
I Don't Care (with Justin Bieber);Ed Sheeran;pop;2019;102;68;80;-5;9;84;220;9;4;78;0;Major;0.0853848727366967;-35.056333906953995
i hate u i love u (feat. olivia o'brien);gnash;alt z;2016;93;28;49;-13;10;18;251;69;30;78;6;Minor;0.8544923586218739;-34.3751163785408
I Miss You;blink-182;alternative metal;2003;110;71;42;-8;9;59;227;0;5;78;6;Minor;0.9060238669879505;-31.16853594048273
Impossible;James Arthur;pop;2013;170;70;38;-5;11;30;209;14;9;78;2;Minor;0.6310236372573892;-46.10082362090765
It Will Rain;Bruno Mars;dance pop;2011;150;84;58;-7;8;48;258;34;5;78;4;Major;0.35504413058435835;-23.38901739648899
It's Not Living (If It's Not With You);The 1975;modern alternative rock;2018;121;84;62;-5;6;53;248;0;3;78;10;Minor;0.11135294226303338;-36.41076098890095
Just Can’t Get Enough;Black Eyed Peas;dance pop;2010;94;63;66;-9;11;26;219;19;18;78;6;Major;0.5165634427072099;-53.054761184034945
La Tortura (feat. Alejandro Sanz);Shakira;colombian pop;2005;100;78;74;-5;12;81;213;3;4;78;2;Major;0.2943325486644637;-18.27853492310973
Lady - Hear Me Tonight;Modjo;disco house;2001;126;81;72;-6;6;87;307;1;4;78;9;Minor;0.07475909169538542;-51.5344686417778
Lantas;Juicy Luicy;indonesian pop;2020;86;31;59;-8;35;55;234;79;3;78;11;Major;0.9941970038897597;-52.400177152593635
Lean On (feat. MØ & DJ Snake);Major Lazer;dance pop;2015;98;81;72;-3;56;27;177;0;6;78;9;Minor;0.8504410109092286;-49.733972945300096
Life Goes On;BTS;k-pop;2020;81;72;57;-6;37;45;207;1;4;78;9;Major;0.8564583665920815;-13.388813607406014
Life Goes On;Oliver Tree;alternative hip hop;2021;80;49;70;-5;12;57;162;19;8;78;6;Major;0.4486545971207333;-42.61123016364013
Love Me Again;John Newman;dance pop;2013;126;89;50;-5;10;21;240;0;4;78;6;Minor;0.20741114897690693;-21.45660595063763
Malibu;Miley Cyrus;pop;2017;140;78;57;-6;8;34;232;8;6;78;3;Major;0.9195752903632758;-50.24759542754302
Mambo No. 5 (a Little Bit of...);Lou Bega;latin pop;1999;174;81;62;-7;31;89;220;10;41;78;5;Major;0.17907405271173815;-0.9207248207509409
Me & U;Cassie;dance pop;2006;100;45;80;-5;7;74;192;35;3;78;9;Minor;0.7125865693588793;-9.160874558876259
Me, Myself & I;G-Eazy;indie pop rap;2015;112;67;76;-7;16;39;251;2;10;78;7;Minor;0.9969915939399352;-31.100147294037473
My House;Flo Rida;dance pop;2015;94;70;69;-5;13;74;192;2;5;78;6;Minor;0.6905485756705255;-36.42066796786919
On Top Of The World;Imagine Dragons;modern rock;2012;100;92;63;-6;8;76;192;8;15;78;8;Major;0.693501894938085;-57.75013181279531
One More Night;Maroon 5;pop;2012;93;82;72;-3;8;62;220;6;3;78;6;Minor;0.7294654900920774;-20.71551379726168
Permission to Dance;BTS;k-pop;2021;125;74;70;-5;34;65;188;1;4;78;0;Major;0.3795154946373902;-34.12467161863549
Physical;Dua Lipa;dance pop;2020;147;84;65;-4;10;75;194;1;5;78;6;Minor;0.6889313192904855;-29.501809445781365
Piece Of Your Heart;MEDUZA;pop dance;2019;124;74;68;-7;7;63;153;4;3;78;1;Minor;0.8910302174544172;-48.00495133967395
Problem;Ariana Grande;pop;2014;103;81;66;-5;16;63;194;2;15;78;2;Minor;0.712207568640033;-17.790385528230765
Pump It;Black Eyed Peas;dance pop;2005;154;93;65;-3;75;74;213;1;18;78;7;Minor;0.6720812177386306;-46.7729346970233
Replay;Iyaz;dance pop;2009;91;75;71;-6;17;20;182;17;7;78;3;Major;0.012988575500065824;-39.389820699917266
Right Round;Flo Rida;dance pop;2009;125;67;72;-7;23;71;205;1;6;78;11;Major;0.46309849770144307;-37.243514257119784
Rock Your Body;Justin Timberlake;dance pop;2002;101;71;89;-6;5;82;267;20;14;78;1;Minor;0.06047161019106417;-15.881481217418148
ROXANNE;Arizona Zervas;pop rap;2019;117;60;62;-6;46;46;164;5;15;78;5;Minor;0.2863317298670759;-41.64927590901622
17;MK;house;2017;122;83;70;-7;7;67;196;0;7;65;4;Major;0.8023291535327008;-19.983853032544282
Side To Side;Ariana Grande;pop;2016;159;74;65;-6;24;61;226;5;23;78;7;Major;0.6956675540125651;-20.03119344902362
Sk8er Boi;Avril Lavigne;canadian pop;2002;150;90;49;-4;36;48;204;0;5;78;7;Minor;0.8698658116176341;-48.091001110743576
SOS;Rihanna;barbadian pop;2006;137;67;68;-5;41;53;239;0;4;78;10;Major;0.6089715365222282;-3.2274654148433157
Take A Bow;Rihanna;barbadian pop;2008;82;47;70;-8;9;57;229;25;7;78;0;Minor;0.12427015629229687;-41.610285938517805
Taki Taki (with Selena Gomez & Ozuna & Cardi B);DJ Snake;edm;2018;96;80;84;-4;6;62;213;16;23;78;8;Major;0.21436487120675485;-55.32118279349075
Te Boté - Remix;Nio Garcia;reggaeton;2018;97;68;90;-3;6;44;418;54;21;78;2;Minor;0.3234061776145184;-13.311202867721747
The Kill;Thirty Seconds To Mars;modern rock;2005;183;91;18;-4;58;29;232;0;8;78;10;Minor;0.7314895776510195;-16.281466857419787
Tusa;KAROL G;reggaeton;2019;101;72;80;-3;6;57;201;30;30;78;8;Minor;0.23464376773176543;-23.53839467483182
Unwritten;Natasha Bedingfield;dance pop;2004;100;80;71;-6;8;63;259;1;4;78;2;Minor;0.22459528811071405;-49.43807723349284
Use Somebody;Kings of Leon;modern rock;2008;137;72;28;-5;20;17;231;1;4;78;10;Major;0.7082296129228096;-54.861109377186416
Valerie (feat. Amy Winehouse) - Version Revisited;Mark Ronson;pop soul;2007;106;83;70;-5;10;89;219;0;6;78;1;Minor;0.960309685579537;-41.77325495880351
Video Games;Lana Del Rey;art pop;2012;73;25;24;-10;9;18;282;81;3;78;9;Minor;0.42292451957202604;-19.492288972043013
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground);Shakira;colombian pop;2010;127;87;76;-6;7;75;203;1;15;78;1;Major;0.9722943541128777;-47.486935539764744
We Are Young (feat. Janelle Monáe);fun.;baroque pop;2012;184;64;38;-6;8;74;251;2;8;78;2;Minor;0.2897129194635356;-10.310499783325994
When You Were Young;The Killers;alternative rock;2006;130;99;47;-3;28;32;220;0;11;78;1;Minor;0.9742520439448278;-47.33784416625258
Who Says;Selena Gomez & The Scene;pop;2011;101;93;68;-3;15;74;196;8;5;78;4;Minor;0.4091760767169803;-35.341052925578
Womanizer;Britney Spears;dance pop;2008;139;70;72;-5;9;24;224;7;6;78;5;Minor;0.4180264981348709;-8.098351195261692
Work from Home (feat. Ty Dolla $ign);Fifth Harmony;girl group;2016;105;59;80;-6;6;59;214;10;4;78;3;Minor;0.9814056741923961;-32.35180337694729
1-800-273-8255;Logic;conscious hip hop;2017;100;57;62;-8;19;36;250;57;5;77;0;Minor;0.2532176582620269;-21.631455992147416
21 Questions;50 Cent;east coast hip hop;2003;93;81;65;-4;4;90;224;35;30;77;11;Major;0.2615147627178166;-34.73427563709531
3 Nights;Dominic Fike;alternative pop rock;2018;152;52;82;-7;10;88;178;22;9;77;3;Minor;0.5956093225167497;-24.204325140660494
Are You With Me;Lost Frequencies;belgian edm;2016;121;61;76;-8;12;39;138;26;4;77;0;Minor;0.09071899154266627;-35.859788989066274
Barbie Girl;Aqua;bubblegum dance;1997;130;88;81;-11;37;96;198;2;4;77;0;Minor;0.8563752431187176;-11.96947150324047
Beauty And A Beat;Justin Bieber;canadian pop;2012;128;84;60;-5;7;53;228;0;6;77;7;Major;0.13434778293543692;-53.654188667740826
Best of You;Foo Fighters;alternative metal;2005;130;94;37;-5;19;37;256;0;7;77;5;Major;0.44481252706847685;-13.618757015758284
Bleeding Love;Leona Lewis;british soul;2007;104;66;64;-6;15;23;262;19;4;77;8;Minor;0.009313736802971206;-40.38098023490254
Blurred Lines;Robin Thicke;dance pop;2013;120;60;85;-5;8;84;264;0;4;77;11;Major;0.42029361948232;-28.54033064954081
Body;Loud Luxury;edm;2017;122;76;75;-4;5;58;163;5;4;77;10;Major;0.2291416794091513;-16.797677723933354
Break Your Heart;Taio Cruz;dance pop;2010;122;93;61;-4;9;57;202;3;3;77;1;Major;0.45281212020401107;-48.16430742275509
Buy U a Drank (Shawty Snappin') (feat. Yung Joc);T-Pain;dance pop;2007;80;55;69;-8;7;61;228;1;12;77;5;Minor;0.27997267054782704;-28.78223327365404
By the Way;Red Hot Chili Peppers;alternative rock;2002;122;97;45;-5;10;20;217;3;11;77;6;Major;0.5597778010895768;-22.92957162908268
California Gurls;Katy Perry;pop;2012;125;75;79;-4;16;43;235;0;6;77;4;Major;0.5990690918338759;-56.207706012348886
Call on Me - Radio Mix;Eric Prydz;edm;2004;126;84;60;-7;84;45;171;0;38;77;4;Major;0.6495112848235063;-26.285020814990716
Can't Get You out of My Head;Kylie Minogue;australian dance;2001;126;56;77;-8;12;96;231;3;3;77;7;Minor;0.256862297767661;-7.766846689409462
Clarity;Zedd;complextro;2012;128;78;51;-3;7;18;271;4;7;77;8;Major;0.26138160041577574;-25.56791978233438
Cooler Than Me - Single Mix;Mike Posner;dance pop;2010;130;82;77;-5;69;63;213;18;5;77;6;Major;0.292189323934793;-55.5548949742799
Dance Monkey;Tones And I;australian pop;2021;98;59;82;-6;15;51;209;69;9;77;10;Minor;0.06490150483613066;-26.019461845641864
DARE;Gorillaz;alternative hip hop;2005;120;89;76;-6;30;97;245;2;4;77;11;Major;0.5026678394877501;-26.183377230108512
Don't Call Me Up;Mabel;pop;2019;99;88;67;-3;8;23;178;30;15;77;7;Major;0.5350906657743543;-8.566345307378867
Don't Know Why;Norah Jones;contemporary vocal jazz;2002;89;22;75;-11;7;64;186;85;3;77;6;Major;0.08446531083848585;-14.298888738441534
Eastside (with Halsey & Khalid);benny blanco;pop;2018;89;68;56;-8;12;32;174;56;32;77;11;Major;0.3384677864953618;-49.253357387068775
Envolver;Anitta;funk pop;2021;92;74;81;-5;9;40;194;15;8;77;7;Major;0.12894143139700764;-54.934050194990256
